customerNo,ledgerMonth,redeemed
US10931,2026-02,231
US10956,2026-02,362
US10957,2026-02,126
US10960,2026-02,335
US11009,2026-02,45
US11020,2026-02,172
US12419,2026-02,192
US12570,2026-02,32
US12807,2026-02,88
US13004,2026-02,247
US13153,2026-02,124
US13164,2026-02,307
US13167,2026-02,100
US13220,2026-02,166
US13294,2026-02,261
US13491,2026-02,714
US13502,2026-02,418
US13779,2026-02,246
US13939,2026-02,146
US13971,2026-02,370
US14389,2026-02,61
US14421,2026-02,120
US14459,2026-02,25
US14483,2026-02,57
US14650,2026-02,97
US14671,2026-02,111
US14710,2026-02,306
US14723,2026-02,655
US14755,2026-02,194
US14928,2026-02,600
US14974,2026-02,90
US15359,2026-02,77
US15681,2026-02,520
US15802,2026-02,273
US15955,2026-02,87
US16137,2026-02,492
US16155,2026-02,21
US16194,2026-02,176
US16256,2026-02,370
US16269,2026-02,788
US16339,2026-02,150
US16607,2026-02,64
US16644,2026-02,97
US16870,2026-02,1462
US16878,2026-02,202
US17212,2026-02,41
US17316,2026-02,74
US17350,2026-02,160
US17554,2026-02,98
US17717,2026-02,236
US245,2026-03,361
US282,2026-03,560
US290,2026-03,546
US315,2026-03,530
US332,2026-03,51
US335,2026-03,190
US338,2026-03,141
US342,2026-03,67
US348,2026-03,133
US352,2026-03,132
US365,2026-03,1317
US424,2026-03,754
US438,2026-03,100
US450,2026-03,80
US461,2026-03,976
US552,2026-03,204
US588,2026-03,384
US594,2026-03,144
US626,2026-03,384
US628,2026-03,724
US630,2026-03,241
US654,2026-03,171
US658,2026-03,1523
US670,2026-03,133
US693,2026-03,423
US708,2026-03,64
US919,2026-03,206
US18113,2026-03,610
US1162,2026-03,42
US1264,2026-03,176
US1270,2026-03,180
US1312,2026-03,153
US1348,2026-03,114
US1397,2026-03,22
US1465,2026-03,352
US1641,2026-03,675
US1693,2026-03,35
US18252,2026-03,505
US1843,2026-03,1387
US2494,2026-03,234
US2579,2026-03,64
US2959,2026-03,244
US3078,2026-03,108
US3183,2026-03,173
US3194,2026-03,229
US3279,2026-03,435
US3570,2026-03,27
US3632,2026-03,633
US3694,2026-03,174
US3724,2026-03,526
US3983,2026-03,86
US4001,2026-03,612
US4043,2026-03,539
US4193,2026-03,1000
US4225,2026-03,216
US4240,2026-03,266
US4328,2026-03,194
US4379,2026-03,7
US4384,2026-03,48
US4394,2026-03,806
US4596,2026-03,36
US4615,2026-03,186
US4652,2026-03,28
US4866,2026-03,49
US4978,2026-03,87
US5216,2026-03,13163
US5351,2026-03,3876
US5352,2026-03,2
US5415,2026-03,108
US5494,2026-03,239
US6016,2026-03,40
US6116,2026-03,314
US6201,2026-03,384
US6283,2026-03,456
US6412,2026-03,280
US6502,2026-03,234
US6689,2026-03,2914
US6777,2026-03,5842
US6778,2026-03,14
US6779,2026-03,4431
US6894,2026-03,600
US7140,2026-03,110
US7245,2026-03,129
US7346,2026-03,37
US7491,2026-03,265
US8219,2026-03,447
US8246,2026-03,71
US8434,2026-03,248
US8932,2026-03,675
US9046,2026-03,594
US9220,2026-03,1879
US9346,2026-03,14
US9446,2026-03,71
US9848,2026-03,23
US9949,2026-03,666
US10018,2026-03,186
US10054,2026-03,694
US10057,2026-03,263
US10173,2026-03,220
US10202,2026-03,267
US10255,2026-03,32
US10266,2026-03,80
US10299,2026-03,287
US10303,2026-03,162
US10310,2026-03,77
US10351,2026-03,44
US10482,2026-03,529
US10539,2026-03,59
US10837,2026-03,121
US10855,2026-03,49
US10865,2026-03,396
US10908,2026-03,51
US12253,2026-03,57
US12429,2026-03,12
US12606,2026-03,572
US12607,2026-03,59
US12871,2026-03,86
US13409,2026-03,43
US13745,2026-03,155
US14206,2026-03,430
US14860,2026-03,254
US15084,2026-03,238
US16201,2026-03,267
US16335,2026-03,68
US16554,2026-03,550
US16722,2026-03,208
US16848,2026-03,191
US16849,2026-03,230
US16869,2026-03,268
US16870,2026-03,732
US17102,2026-03,17
US17311,2026-03,177
US17493,2026-03,168
US17713,2026-03,647
US17733,2026-03,80
